20
10 2928 1769 9207 4204 7213 7047 6304 6533 6257 8981 8406 9491 1609 3071 363 7861 3189 2381 7051 7267
10 3859 4438 70 4034 186 1507 3884 6617 2990 6075 6887 6591 8692 6885 2855 2682 5666 5140 4010 7272
10 8548 3732 2800 2895 1468 2217 9032 9864 5662 7786 9522 8167 3822 801 2658 3425 6613 1814 7209 42
10 2635 1465 9184 1400 7396 9708 4222 6988 392 8728 8861 7364 8664 556 4224 4012 7356 6321 9000 5218
10 1769 9870 2401 9581 2532 3311 8134 151 791 7566 4332 1166 2351 6677 8601 120 7414 2319 5235 1958
10 1351 1383 605 1770 8131 8457 4233 7876 7473 6098 23 5579 7197 4968 6393 382 5160 6778 9105 5093
10 2377 1944 3266 8173 7078 7665 9410 1906 110 1616 6276 9580 5736 5405 2420 1609 2187 6624 1303 7351
10 2788 7262 9602 779 9701 565 7829 1301 470 6738 724 5340 6816 9144 4730 5981 2842 1955 720 2725
10 598 1569 6027 3614 7231 3272 8287 2346 1443 9561 6734 423 6359 3598 9489 4983 6538 8135 7446 1893
10 359 4312 5244 110 3327 1642 1948 7565 2287 2556 9901 7451 7901 6908 4364 1560 137 5530 9858 3797
10 197 4661 7774 3289 7462 8227 6656 2115 664 8457 6999 2695 3376 9678 2283 4096 8428 5598 1230 1654
10 9097 7330 2563 3494 6035 5532 8144 6749 969 6095 7357 1319 8955 5584 1071 1666 3497 2202 3162 9128
10 7018 362 3022 3719 5253 3377 9592 6065 4083 4259 764 3527 5265 971 7221 9003 1941 604 4437 9633
10 9756 237 3117 7893 6869 7440 8112 7918 3627 7450 4445 7841 6914 4661 1005 8341 2001 4251 9328 610
10 2976 6802 5426 6823 3867 3268 3916 8380 6996 1493 2325 1336 8838 5048 6920 7922 3146 4689 7121 4316
10 1505 4652 9879 2379 9539 3874 9674 5548 7859 7839 6044 1412 1605 3488 7292 7448 9293 1285 2220 9730
10 3358 1526 574 9059 2387 6267 3059 3430 3600 6469 8557 9796 2570 1195 6212 1392 4334 7683 6525 5135
10 4791 6756 6041 5297 1653 9954 193 9346 9439 2137 9167 1622 6733 7713 8884 4970 2571 2360 4068 5542
10 3854 158 4905 4866 1422 5571 6118 9110 6940 4730 1567 5368 6548 9646 3035 2519 9013 6743 4733 4360
10 8875 417 730 634 2781 2321 9016 1047 2548 6762 2580 9249 1120 6643 7602 1171 7072 4748 4795 7290
10 2246 6104 6761 8393 9325 3173 5867 7334 2884 9683 1354 5109 9433 5802 658 1680 4027 1138 9372 379
10 3994 8055 2904 1362 527 4045 8718 8428 178 4363 1074 8336 2938 1128 1768 48 329 1217 3483 659
10 5601 9013 1623 2179 8612 6379 4522 1499 4872 9774 340 3894 688 319 30 2185 9266 8343 4952 7074
10 4249 6160 2580 1851 6095 6371 4295 1918 8375 1959 7574 6815 8343 9874 1885 1596 8309 2601 8798 8123
10 1008 4703 8551 909 2235 4827 3292 9486 5133 2424 1930 8853 2203 5028 8877 9905 2443 8165 9757 5610
10 4919 770 6149 2943 9528 2496 9961 7241 9784 2886 7608 5997 46 8511 531 4774 6705 4564 7533 8271
10 4167 1462 5902 4668 4859 9489 7767 8465 9285 4128 9787 1807 6331 7329 4271 1357 4418 1212 2597 5352
10 6439 2798 6194 6732 2024 5028 5448 1671 9652 3594 6325 4611 1674 3615 3354 6615 668 1259 417 5578
10 8568 490 3654 7902 3885 2012 2097 7680 4722 6110 3426 4960 2206 6781 4343 6269 1540 1328 1177 861
10 2566 1319 4384 8285 7515 8802 2238 1793 4854 2020 103 1079 5301 930 6941 7556 1790 1026 3532 6945
10 2568 2252 1663 473 5290 4956 4316 2467 2399 7197 4968 8170 5739 6675 8757 4683 4030 2108 7572 8666
10 7982 4967 5823 9365 5633 1590 9968 2518 1785 9023 1570 5881 6860 3708 89 4882 8488 6741 2491 1380
