100
-8969 7277
7018 8503
5857 -8739
-6225 -4036
6738 7786
-2236 -3479
57 -5739
-826 454
6293 3484
-9775 -7775
5365 -4317
-5813 8445
-1569 -9917
2680 8838
-975 -4409
6645 -3735
2075 -7399
193 -6051
-3605 7416
382 -955
-9218 -6289
420 9933
-6198 -1447
-1276 -4340
614 -5764
-8819 -5070
2095 8521
-9162 -9061
-5197 9355
9628 4390
8081 880
-4166 6632
6647 2893
3939 2141
-390 -7403
3385 680
-8297 8663
9667 -3142
-7440 -8865
7997 2147
9892 -917
7926 -3182
-7815 592
-1676 -833
606 -4343
1211 6184
-5031 5432
-7319 -1742
-8596 -9867
1365 2849
3064 7303
-7813 -6156
-8215 2783
6867 -4143
911 -495
2399 7019
8048 787
-6993 -1974
3238 7959
-7148 143
-7365 -7583
1320 -1161
-1314 -3225
9282 5310
-4741 -9019
8296 -628
2668 -4009
-3037 9645
7964 6231
5228 -2874
-5040 1792
7857 -4685
3155 3944
-2854 -7615
-3819 4482
-6238 9602
8357 8569
1151 -86
-3556 -2139
9762 8702
-7483 -7237
9508 -4836
-8051 -7453
-5698 5547
6376 1022
2861 2052
6702 2567
4425 -8190
5868 -9921
-59 526
-2107 -1794
7314 -5162
-1787 9394
-8833 -250
8307 589
-5976 3419
-2059 -9807
7378 -6629
224 -6379
-2467 7243
