10
6 2295 5175 3555 4365 4185 5445 5220 4770 6255 5400 7200 4230
6 8460 6165 9675 5130 7425 4680 8910 3915 6930 3465 7965 2835
6 4635 5850 1440 4410 4275 3285 5940 4410 4455 4905 3960 4365
6 3375 3510 2115 2970 3780 1980 4815 2880 6165 2070 6930 3060
6 8010 3375 6615 4050 5085 2925 5490 1935 3105 1755 1620 4050
6 9315 3690 7875 1710 7290 2475 6435 2700 5985 3780 8775 4590
6 8055 5715 5355 6345 2745 5490 3150 4275 2115 3825 3150 3015
6 1980 6570 3285 4320 1530 3375 2385 2160 3825 2790 4860 1485
6 6480 2205 5535 5625 7470 6165 3375 6705 1305 5535 2790 3825
6 4320 6300 6840 6795 7515 5535 7875 6525 6075 7335 3015 6840

